chapter_id,question,type,option_a,option_b,option_c,option_d,correct_answer,time_seconds,explanation
2,"L'aire d'un carré de côté 6 cm est :",mcq,"12 cm²","24 cm²","36 cm²","48 cm²",C,30,"Aire = côté × côté = 6 × 6 = 36 cm²."
2,"Un rectangle a 4 côtés égaux.",tf,"Vrai","Faux","","",B,15,"Un rectangle a ses côtés opposés égaux, pas les 4. Seuls les carrés ont 4 côtés égaux."
2,"Le périmètre d'un cercle s'appelle :",mcq,"Le diamètre","Le rayon","La circonférence","L'arc",C,25,"Le périmètre d'un cercle s'appelle la circonférence."
2,"Un angle droit mesure :",mcq,"45°","60°","90°","180°",C,20,"Un angle droit mesure exactement 90°."
3,"Dans f(x) = 2x + 3, que vaut f(0) ?",mcq,"0","2","3","5",C,30,"f(0) = 2×0 + 3 = 3. L'ordonnée à l'origine est 3."
3,"f(x) = -x + 5 est une fonction :",mcq,"Croissante","Décroissante","Constante","Affine",B,30,"Le coefficient de x est -1 (négatif), donc f est décroissante."
3,"La représentation graphique d'une fonction affine est :",mcq,"Un cercle","Une droite","Une parabole","Une hyperbole",B,25,"Une fonction affine f(x) = ax + b est toujours représentée par une droite."
3,"Dans y = 3x - 1, le coefficient directeur est :",mcq,"-1","1","3","-3",C,25,"Dans y = ax + b, le coefficient directeur est a = 3."
3,"f(x) = 5 est une fonction constante.",tf,"Vrai","Faux","","",A,15,"f(x) = 5 ne dépend pas de x, c'est une constante."
3,"Dans f(x) = 2x + 3, que vaut f(2) ?",mcq,"4","5","7","10",C,30,"f(2) = 2×2 + 3 = 4 + 3 = 7."
3,"L'ordonnée à l'origine de f(x) = 4x - 2 est :",mcq,"-2","2","4","-4",A,25,"L'ordonnée à l'origine est f(0) = 4×0 - 2 = -2."
3,"f(x) = x² est une fonction affine.",tf,"Vrai","Faux","","",B,15,"Une fonction affine est de la forme ax + b. x² n'est pas affine, c'est une fonction du second degré."
3,"Si f(x) = -x + 3, alors f(1) =",mcq,"1","2","3","4",B,30,"f(1) = -1 + 3 = 2."
3,"Une fonction linéaire est de la forme :",mcq,"f(x) = ax + b","f(x) = ax","f(x) = x²","f(x) = 1/x",B,25,"Une fonction linéaire est f(x) = ax (pas de constante b)."
4,"La probabilité d'un événement certain est :",mcq,"0","0.5","1","2",C,20,"Un événement certain se produit toujours → probabilité = 1."
4,"On lance un dé. P(obtenir 6) =",mcq,"1/2","1/3","1/6","1/4",C,25,"Un dé a 6 faces. 1 seule face donne 6 → P = 1/6."
4,"La probabilité est toujours entre 0 et 1.",tf,"Vrai","Faux","","",A,15,"La probabilité d'un événement est toujours comprise entre 0 (impossible) et 1 (certain)."
4,"On tire une carte parmi 52. P(as) =",mcq,"1/13","1/4","1/52","4/13",A,30,"Il y a 4 as dans 52 cartes → P = 4/52 = 1/13."
4,"L'événement impossible a une probabilité de 0.",tf,"Vrai","Faux","","",A,15,"Par définition, un événement impossible ne peut pas se produire → P = 0."
4,"On lance une pièce. P(pile) =",mcq,"0","0.25","0.5","1",C,20,"Une pièce a 2 faces → P(pile) = 1/2 = 0.5."
4,"Si A et B sont incompatibles, P(A ou B) =",mcq,"P(A) x P(B)","P(A) + P(B)","P(A) - P(B)","1",B,30,"Deux événements incompatibles ne peuvent pas arriver ensemble → P(A ou B) = P(A) + P(B)."
4,"On lance 2 dés. P(somme = 7) est :",mcq,"1/6","1/12","1/36","5/36",A,35,"Il y a 6 combinaisons sur 36 qui donnent 7 → P = 6/36 = 1/6."
4,"P(événement contraire) = 1 - P(événement).",tf,"Vrai","Faux","","",A,15,"C'est la règle fondamentale : P(non A) = 1 - P(A)."
4,"Sur 100 élèves, 60 aiment les maths. La fréquence est :",mcq,"0.4","0.6","6","60",B,25,"Fréquence = effectif / total = 60/100 = 0.6."
5,"sin(30°) =",mcq,"0","0.5","0.707","1",B,25,"sin(30°) = 0.5. C'est une valeur à connaître par cœur."
5,"cos(60°) =",mcq,"0","0.5","0.707","1",B,25,"cos(60°) = 0.5. Remarque : cos(60°) = sin(30°)."
5,"tan(45°) =",mcq,"0","0.5","1","2",C,20,"tan(45°) = sin(45°)/cos(45°) = 1."
5,"Dans un triangle rectangle, sin = opposé / hypoténuse.",tf,"Vrai","Faux","","",A,15,"SOH : Sinus = Opposé / Hypoténuse."
5,"cos²(x) + sin²(x) =",mcq,"0","1","2","cos(x)",B,25,"C'est l'identité trigonométrique fondamentale : cos²x + sin²x = 1."
5,"sin(90°) =",mcq,"0","0.5","0.707","1",D,25,"sin(90°) = 1. Le sinus est maximal à 90°."
5,"cos(0°) =",mcq,"0","0.5","0.707","1",D,25,"cos(0°) = 1. Le cosinus est maximal à 0°."
5,"Le côté le plus long d'un triangle rectangle est l'hypoténuse.",tf,"Vrai","Faux","","",A,15,"L'hypoténuse est toujours le côté le plus long, opposé à l'angle droit."
5,"tan(x) =",mcq,"sin/cos","cos/sin","sin x cos","1/sin",A,20,"tan(x) = sin(x) / cos(x)."
5,"sin(0°) =",mcq,"0","0.5","0.707","1",A,20,"sin(0°) = 0. Le sinus est nul à 0°."
6,"Les solutions de x² = 9 sont :",mcq,"3","-3","3 et -3","9",C,25,"x² = 9 → x = √9 = 3 ou x = -√9 = -3. Deux solutions."
6,"Le discriminant de x² + 2x + 1 est :",mcq,"-8","0","4","8",B,30,"Δ = b² - 4ac = 4 - 4×1×1 = 0."
6,"Si le discriminant est négatif :",mcq,"0 solution","1 solution","2 solutions","3 solutions",A,25,"Δ < 0 → aucune solution réelle."
6,"x² - 5x + 6 = 0 a pour solutions :",mcq,"1 et 6","2 et 3","-2 et -3","-1 et 6",B,30,"Δ = 25 - 24 = 1. x = (5±1)/2 → x = 3 ou x = 2."
6,"Le discriminant de ax² + bx + c est b² - 4ac.",tf,"Vrai","Faux","","",A,20,"C'est la formule : Δ = b² - 4ac."
6,"Si le discriminant est nul, il y a :",mcq,"0 solution","1 solution","2 solutions","3 solutions",B,25,"Δ = 0 → une seule solution (racine double) : x = -b/(2a)."
6,"x² + 1 = 0 a des solutions réelles.",tf,"Vrai","Faux","","",B,15,"x² + 1 = 0 → x² = -1. Impossible ! Un carré est toujours ≥ 0."
6,"Le discriminant de x² - 4x + 4 est :",mcq,"-16","0","16","32",B,30,"Δ = 16 - 16 = 0. (x-2)² = 0."
6,"Si le discriminant est positif, il y a 2 solutions.",tf,"Vrai","Faux","","",A,15,"Δ > 0 → deux solutions distinctes : x = (-b ± √Δ) / (2a)."
6,"Les solutions de x² - 4 = 0 sont :",mcq,"2","-2","2 et -2","4",C,25,"x² = 4 → x = 2 ou x = -2."
